id;name
633e48b1-6889-4b23-bef4-7529047bcb0b;nor
0eb9b2fc-9ccf-4940-a87b-5626f78ab30a;whose pfft felony
48c3c56c-317c-448d-874c-1cce2a4b62b5;luxury
a2078a10-19c1-4dda-8f33-957c77c3e094;violently poor
8782d925-a4a7-4f8c-8e20-c1023a64a91c;outside likewise helpfully
25b849b1-892d-44c7-b4b0-ae0e4ea84678;notwithstanding prohibition till
cefb0234-8e2d-4bbc-8fc7-206fd1c417b5;vain yippee
1260b630-cc03-4513-9e10-c08c31858366;amid
095916ad-d7bb-43ca-bf58-1f6a23623e50;after blindside joshingly
2980862d-fa28-4fe4-b84c-b62a22933f1c;however suspiciously yawningly
